Matthew 1:1	The book of the lineage of Jesus Christ, the son of David, the son of Abraham.
Matthew 10:3	James of Zebedee, and John his brother, Philip and Bartholomew, Thomas and Matthew the tax collector, and James of Alphaeus, and Thaddaeus,
Matthew 10:4	Simon the Canaanite, and Judas Iscariot, who also betrayed him.
Matthew 10:5	Jesus sent these twelve, instructing them, saying: “Do not travel by the way of the Gentiles, and do not enter into the city of the Samaritans,
Matthew 10:6	but instead go to the sheep who have fallen away from the house of Israel.
Matthew 10:7	And going forth, preach, saying: ‘For the kingdom of heaven has drawn near.’
Matthew 10:8	Cure the infirm, raise the dead, cleanse lepers, cast out demons. You have received freely, so give freely.
Matthew 10:9	Do not choose to possess gold, nor silver, nor money in your belts,
Matthew 10:10	nor provisions for the journey, nor two tunics, nor shoes, nor a staff. For the laborer deserves his portion.
Matthew 10:11	Now, into whatever city or town you will enter, inquire as to who is worthy within it. And stay there until you depart.
Matthew 10:12	Then, when you enter into the house, greet it, saying, ‘Peace to this house.’
Matthew 10:13	And if, indeed, that house is worthy, your peace will rest upon it. But if it is not worthy, your peace will return to you.
Matthew 10:14	And whoever has neither received you, nor listened to your words, departing from that house or city, shake off the dust from your feet.
Matthew 10:15	Amen I say to you, it will be more tolerable for the land of Sodom and Gomorrah in the day of judgment, than for that city.
Matthew 10:16	Behold, I am sending you like sheep in the midst of wolves. Therefore, be as prudent as serpents and as simple as doves.
Matthew 10:17	But beware of men. For they will hand you over to councils, and they will scourge you in their synagogues.
Matthew 10:18	And you shall be led before both rulers and kings for my sake, as a testimony to them and to the Gentiles.
Matthew 10:19	But when they hand you over, do not choose to think about how or what to speak. For what to speak shall be given to you in that hour.
Matthew 10:20	For it is not you who will be speaking, but the Spirit of your Father, who will speak in you.
Matthew 10:21	And brother will hand over brother to death, and father will hand over son. And children will rise up against parents and bring about their deaths.
Matthew 10:22	And you will be hated by all for the sake of my name. But whoever will have persevered, even to the end, the same shall be saved.
Matthew 10:23	Now when they persecute you in one city, flee into another. Amen I say to you, you will not have exhausted all the cities of Israel, before the Son of man returns.
Matthew 10:24	The disciple is not above the teacher, nor is the servant above his master.
Matthew 10:25	It is sufficient for the disciple that he be like his teacher, and the servant, like his master. If they have called the Father of the family, ‘Beelzebub,’ how much more those of his household?
Matthew 10:26	Therefore, do not fear them. For nothing is covered that shall not be revealed, nor hidden that shall not be known.
Matthew 10:27	What I tell you in darkness, speak in the light. And what you hear whispered in the ear, preach above the rooftops.
Matthew 10:28	And do not be afraid of those who kill the body, but are not able to kill the soul. But instead fear him who is able to destroy both soul and body in Hell.
Matthew 10:29	Are not two sparrows sold for one small coin? And yet not one of them will fall to the ground without your Father.
Matthew 10:30	For even the hairs of your head have all been numbered.
Matthew 10:31	Therefore, do not be afraid. You are worth more than many sparrows.
Matthew 10:32	Therefore, everyone who acknowledges me before men, I also will acknowledge before my Father, who is in heaven.
Matthew 10:33	But whoever will have denied me before men, I also will deny before my Father, who is in heaven.
Matthew 10:34	Do not think that I came to send peace upon the earth. I came, not to send peace, but the sword.
Matthew 10:35	For I came to divide a man against his father, and a daughter against her mother, and a daughter-in-law against her mother-in-law.
Matthew 10:36	And the enemies of a man will be those of his own household.
Matthew 10:37	Whoever loves father or mother more than me is not worthy of me. And whoever loves son or daughter above me is not worthy of me.
Matthew 10:38	And whoever does not take up his cross, and follow me is not worthy of me.
Matthew 10:39	Whoever finds his life, will lose it. And whoever will have lost his life because of me, shall find it.
Matthew 10:40	Whoever receives you, receives me. And whoever receives me, receives him who sent me.
Matthew 10:41	Whoever receives a prophet, in the name of a prophet, shall receive the reward of a prophet. And whoever receives the just in the name of the just shall receive the reward of the just.
Matthew 10:42	And whoever shall give, even to one of the least of these, a cup of cold water to drink, solely in the name of a disciple: Amen I say to you, he shall not lose his reward.”
Matthew 11:1	And it happened that, when Jesus had completed instructing his twelve disciples, he went away from there in order to teach and to preach in their cities.
Matthew 11:2	Now when John had heard, in prison, about the works of Christ, sending two of his disciples, he said to him,
Matthew 11:3	“Are you he who is to come, or should we expect another?”
Matthew 11:4	And Jesus, responding, said to them: “Go and report to John what you have heard and seen.
Matthew 11:5	The blind see, the lame walk, the lepers are cleansed, the deaf hear, the dead rise again, the poor are evangelized.
Matthew 11:6	And blessed is he who has found no offense in me.”
Matthew 11:7	Then, after they departed, Jesus began to speak to the crowds about John: “What did you go out to the desert to see? A reed shaken by the wind?
Matthew 11:8	So what did you go out to see? A man in soft garments? Behold, those who are clothed in soft garments are in the houses of kings.
Matthew 11:9	Then what did you go out to see? A prophet? Yes, I tell you, and more than a prophet.
Matthew 11:10	For this is he, of whom it is written: ‘Behold, I send my Angel before your face, who shall prepare your way before you.’
Matthew 11:11	Amen I say to you, among those born of women, there has arisen no one greater than John the Baptist. Yet the least in the kingdom of heaven is greater than he.
Matthew 11:12	But from the days of John the Baptist, even until now, the kingdom of heaven has endured violence, and the violent carry it away.
Matthew 11:13	For all the prophets and the law prophesied, even until John.
Matthew 11:14	And if you are willing to accept it, he is the Elijah, who is to come.
Matthew 11:15	Whoever has ears to hear, let him hear.
Matthew 11:16	But to what shall I compare this generation? It is like children sitting in the marketplace,
Matthew 11:17	who, calling out to their companions, say: ‘We played music for you, and you did not dance. We lamented, and you did not mourn.’
Matthew 11:18	For John came neither eating nor drinking; and they say, ‘He has a demon.’
Matthew 11:19	The Son of man came eating and drinking; and they say, ‘Behold, a man who eats voraciously and who drinks wine, a friend of tax collectors and sinners.’ But wisdom is justified by her sons.”
Matthew 11:20	Then he began to rebuke the cities in which many of his miracles were accomplished, for they still had not repented.
Matthew 11:21	“Woe to you, Chorazin! Woe to you, Bethsaida! For if the miracles that were done in you had been done in Tyre and Sidon, they would have repented long ago in haircloth and ashes.
Matthew 11:22	Yet truly, I say to you, Tyre and Sidon shall be forgiven more than you, on the day of judgment.
Matthew 11:23	And you, Capernaum, would you be exalted all the way to heaven? You shall descend all the way to Hell. For if the miracles that were done in you had been done in Sodom, perhaps it would have remained, even to this day.
